method,method_display,preprocess_method,preprocess_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,preprocess_kind,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,967,2,3,1,0.4813725490196078,0.0,0.8235294117647058,1.0,0.6666666666666667,0,0,0.03614457831281753,0.032608695651819466,0.034285713786644904,0.017441860465014874,0.9896850585936896,3,80,89,16212,0.03614457831281753,0.032608695651819466,0.034285713786644904,0.9896850585936896,0.017441860465014874,neighbour_context,92,92,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,967,2,2,0,0.6165502450980392,0.24375000000000002,0.7843137254901961,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9896850585936896,0,77,92,16215,0.0,0.0,0.0,0.9896850585936896,0.0,skeleton,92,92,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,968,3,3,0,0.5634019607843137,0.13,0.7745098039215687,1.0,1.0,0,0,0.029411764705594,0.011718749999954224,0.01675977612874131,0.008450704225328308,0.9785156249999403,3,99,253,16029,0.029411764705594,0.011718749999954224,0.01675977612874131,0.9785156249999403,0.008450704225328308,binary,256,256,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,968,3,3,0,0.5246764705882353,0.13,0.5808823529411764,1.0,1.0,0,0,0.14814814814705077,0.04329004328994959,0.06700167469166043,0.03466204506059851,0.966003417968691,20,115,442,15807,0.14814814814705077,0.04329004328994959,0.06700167469166043,0.966003417968691,0.03466204506059851,binary,256,462,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,968,3,3,0,0.4968089430894309,0.040785907859078575,0.6422764227642277,1.0,1.0,0,0,0.147540983605348,0.07031249999972534,0.09523809480042553,0.049999999999861114,0.9791259765624402,18,104,238,16024,0.147540983605348,0.07031249999972534,0.09523809480042553,0.9791259765624402,0.049999999999861114,binary,256,256,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,968,3,3,0,0.6424367088607595,0.21666666666666667,0.9746835443037974,1.0,1.0,0,0,0.2727272727237308,0.051470588235167966,0.08659793787685832,0.04525862068955763,0.9729614257811906,21,56,387,15920,0.2727272727237308,0.051470588235167966,0.08659793787685832,0.9729614257811906,0.04525862068955763,local_density,256,408,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,968,3,2,1,0.48375527426160336,0.0,0.8354430379746836,1.0,0.6666666666666667,0,0,0.0,0.0,0.0,0.0,0.9742431640624405,0,66,356,15962,0.0,0.0,0.0,0.9742431640624405,0.0,sobel_edges,256,356,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,968,3,3,0,0.6,0.11666666666666667,0.9875,1.0,1.0,0,0,0.5384615384546351,0.062499999999907,0.11199999981333335,0.0593220338982213,0.9593505859374414,42,36,630,15676,0.5384615384546351,0.062499999999907,0.11199999981333335,0.9593505859374414,0.0593220338982213,distance_transform,256,672,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,968,3,3,0,0.5221518987341772,0.0,0.8607594936708861,1.0,1.0,0,0,0.07462686567052795,0.019531249999923707,0.03095975199298374,0.01572327044020213,0.9808959960936902,5,62,251,16066,0.07462686567052795,0.019531249999923707,0.03095975199298374,0.9808959960936902,0.01572327044020213,neighbour_context,256,256,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,968,3,3,0,0.5713091822094691,0.07872628726287263,0.9294117647058824,1.0,1.0,0,0,0.11904761904620181,0.12987012986844323,0.12422360198387408,0.06622516556247533,0.9913940429686895,10,74,67,16233,0.11904761904620181,0.12987012986844323,0.12422360198387408,0.9913940429686895,0.06622516556247533,skeleton,256,77,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,969,1,1,0,0.7788636363636364,0.65,0.6818181818181819,1.0,1.0,0,0,0.47826086954442343,0.20370370369993143,0.2857142852879069,0.1666666666641414,0.9966430664061892,11,12,43,16318,0.47826086954442343,0.20370370369993143,0.2857142852879069,0.9966430664061892,0.1666666666641414,binary,54,54,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,969,1,1,0,0.4409090909090909,0.0,0.4545454545454546,1.0,1.0,0,0,0.24999999999218753,0.0799999999992,0.12121212084297521,0.06451612903173777,0.9929199218749394,8,24,92,16260,0.24999999999218753,0.0799999999992,0.12121212084297521,0.9929199218749394,0.06451612903173777,binary,54,100,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,969,1,1,0,0.4653846153846154,0.0,0.5769230769230769,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9950561523436893,0,27,54,16303,0.0,0.0,0.0,0.9950561523436893,0.0,binary,54,54,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
