method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,candidate_peak_count,component_count,candidate_local_segments,remaining_ransac_points,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,Baseline,6,11,10,1,0.6324873936204585,0.7572936097053744,0.8789808917197452,0.1,0.9090909090909091,4,1,0.9379652605435783,0.9064748201417111,0.9219512190100922,0.8552036199075674,0.9960937499999392,378,25,39,15942,0.9379652605435783,0.9064748201417111,0.9219512190100922,0.9960937499999392,0.8552036199075674,1252,417,23,15,,,,,,,,,,False
hough_transform_on_shared_skeleton,Hough Transform,6,11,10,1,0.649769425246895,0.6692392392392392,0.8162911611785095,0.37777777777777777,0.9090909090909091,4,9,0.6897810218965515,0.9064748201417111,0.7834196886267615,0.6439522998285452,0.9872436523436897,378,170,39,15797,0.6897810218965515,0.9064748201417111,0.7834196886267615,0.9872436523436897,0.6439522998285452,1252,417,0,0,2111.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,6,11,15,4,0.5462387979199519,0.6640173334290981,0.8704883227176221,0.0,0.7333333333333334,4,0,0.8451776649724742,0.7985611510772217,0.8212083842086113,0.6966527196638146,0.9911499023436895,333,61,84,15906,0.8451776649724742,0.7985611510772217,0.8212083842086113,0.9911499023436895,0.6966527196638146,1252,417,0,0,,8.0,,,,,,,,False
thinning_skeletonisation_graph_tracing_on_shared_skeleton,Thinning / skeletonisation,6,11,10,1,0.6324873936204585,0.7572936097053744,0.8789808917197452,0.1,0.9090909090909091,4,1,0.9379652605435783,0.9064748201417111,0.9219512190100922,0.8552036199075674,0.9960937499999392,378,25,39,15942,0.9379652605435783,0.9064748201417111,0.9219512190100922,0.9960937499999392,0.8552036199075674,1252,417,23,15,,,,,353.0,19.0,0.0,35.0,10.0,False
run_graph_vectorisation_on_shared_skeleton,Run-graph vectorisation,6,11,10,1,0.6324873936204585,0.7572936097053744,0.8789808917197452,0.1,0.9090909090909091,4,1,0.9379652605435783,0.9064748201417111,0.9219512190100922,0.8552036199075674,0.9960937499999392,378,25,39,15942,0.9379652605435783,0.9064748201417111,0.9219512190100922,0.9960937499999392,0.8552036199075674,1252,417,23,15,,,,,,,,,,False
sparse_pixel_ransac_vectorisation_on_shared_skeleton,Sparse-pixel RANSAC,6,11,10,1,0.6096169314769315,0.6224932932932933,0.7929292929292929,0.31999999999999995,0.9090909090909091,4,10,0.6731793960911666,0.9088729016764775,0.773469387264621,0.6306156405979524,0.9864501953124397,379,184,38,15783,0.6731793960911666,0.9088729016764775,0.773469387264621,0.9864501953124397,0.6306156405979524,1252,417,0,0,,,,0.0,,,,,,False
mesh_pattern_local_vectorisation_on_shared_skeleton,Mesh-pattern local,6,11,15,4,0.5345884732040784,0.6485075295075297,0.8471337579617835,0.0,0.7333333333333334,4,2,0.9307479224350949,0.805755395681521,0.8637532128679793,0.7601809954733932,0.9935302734374394,336,25,81,15942,0.9307479224350949,0.805755395681521,0.8637532128679793,0.9935302734374394,0.7601809954733932,1252,417,0,0,,,45.0,,,,,,,False
baseline_on_shared_skeleton,Baseline,7,12,18,6,0.5253343379118551,0.5643123905080427,0.898635477582846,0.09999999999999999,0.6666666666666667,11,18,0.587951807227499,0.5648148148135074,0.576151121104508,0.4046434494188978,0.9780883789061903,244,171,188,15781,0.587951807227499,0.5648148148135074,0.576151121104508,0.9780883789061903,0.4046434494188978,1221,432,26,25,,,,,,,,,,False
hough_transform_on_shared_skeleton,Hough Transform,7,12,12,0,0.8370130420658697,0.7908617859286756,0.8479338842975207,0.8461538461538461,1.0,11,13,0.7093690248552402,0.8587962962943083,0.776963350288253,0.635273972601652,0.9869995117186897,371,152,61,15800,0.7093690248552402,0.8587962962943083,0.776963350288253,0.9869995117186897,0.635273972601652,1221,432,0,0,2842.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,7,12,10,2,0.33334932532300954,0.2566957066957067,0.672514619883041,0.0,0.8333333333333334,11,0,0.1934523809518052,0.15046296296261466,0.16927083284070502,0.09246088193443462,0.9610595703124413,65,271,367,15681,0.1934523809518052,0.15046296296261466,0.16927083284070502,0.9610595703124413,0.09246088193443462,1221,432,0,0,,3.0,,,,,,,,False
