method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,99,9,8,1,0.5846510367823278,0.6308289241622574,0.8927789934354485,0.1333333333333333,0.8888888888888888,2,3,0.8740920096831136,0.8615751789955571,0.8677884610364015,0.7664543524399863,0.9932861328124394,361,52,58,15913,0.8740920096831136,0.8615751789955571,0.8677884610364015,0.9932861328124394,0.7664543524399863,996,419,18,13,382.0,14.0,0.0,8.0,15.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,99,9,11,2,0.31230448540842415,0.19806584362139917,0.7067833698030634,0.0,0.8181818181818181,2,3,0.020547945205409084,0.014319809069178235,0.016877636646707075,0.008510638297860269,0.9573364257811915,6,286,413,15679,0.020547945205409084,0.014319809069178235,0.016877636646707075,0.9573364257811915,0.008510638297860269,996,419,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,99,9,10,1,0.2859019178787489,0.060915032679738565,0.8424507658643325,0.0,0.9,2,2,0.05066666666653156,0.045346062052397745,0.04785894156690609,0.02451612903222643,0.9538574218749417,19,356,400,15609,0.05066666666653156,0.045346062052397745,0.04785894156690609,0.9538574218749417,0.02451612903222643,996,419,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,100,8,10,2,0.6756562589072148,0.7032827294322325,0.9792284866468842,0.3333333333333333,0.8,3,6,0.674576271184154,0.6633333333311222,0.6689075625229969,0.5025252525239835,0.9879760742186897,199,96,101,15988,0.674576271184154,0.6633333333311222,0.6689075625229969,0.9879760742186897,0.5025252525239835,772,300,18,15,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,100,8,10,2,0.7014265358607261,0.7393938405433436,0.9851632047477745,0.3666666666666667,0.8,3,6,0.674576271184154,0.6633333333311222,0.6689075625229969,0.5025252525239835,0.9879760742186897,199,96,101,15988,0.674576271184154,0.6633333333311222,0.6689075625229969,0.9879760742186897,0.5025252525239835,772,300,18,15,256.0,13.0,0.0,13.0,18.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,100,8,14,6,0.37300484787844185,0.18045434775335403,0.9232876712328767,0.19999999999999998,0.5714285714285714,3,12,0.050898203592661985,0.05666666666647778,0.05362775975363473,0.02755267423010121,0.9633789062499412,17,317,283,15767,0.050898203592661985,0.05666666666647778,0.05362775975363473,0.9633789062499412,0.02755267423010121,772,300,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,100,8,7,1,0.3200342678944311,0.12109494415049969,0.8902077151335311,0.0,0.875,3,4,0.041353383458491155,0.036666666666544445,0.03886925745219694,0.019819819819784108,0.9667968749999409,11,255,289,15829,0.041353383458491155,0.036666666666544445,0.03886925745219694,0.9667968749999409,0.019819819819784108,772,300,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,101,2,2,0,0.8951735459662289,0.7995726495726496,0.926829268292683,1.0,1.0,0,0,0.9999999999750001,0.9999999999750001,0.9999999994750002,0.9999999999750001,0.9999999999999389,40,0,0,16344,0.9999999999750001,0.9999999999750001,0.9999999994750002,0.9999999999999389,0.9999999999750001,137,40,4,2,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,101,2,2,0,0.8951735459662289,0.7995726495726496,0.926829268292683,1.0,1.0,0,0,0.9999999999750001,0.9999999999750001,0.9999999994750002,0.9999999999750001,0.9999999999999389,40,0,0,16344,0.9999999999750001,0.9999999999750001,0.9999999994750002,0.9999999999999389,0.9999999999750001,137,40,4,2,36.0,4.0,0.0,0.0,0.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,101,2,2,0,0.4844262295081967,0.0,0.6721311475409837,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9941406249999393,0,56,40,16288,0.0,0.0,0.0,0.9941406249999393,0.0,137,40,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,101,2,1,1,0.4707317073170732,0.0,0.8536585365853658,1.0,0.5,0,0,0.0,0.0,0.0,0.0,0.9954223632811893,0,35,40,16309,0.0,0.0,0.0,0.9954223632811893,0.0,137,40,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,102,18,32,14,0.49881431184321456,0.5410328572819196,0.8454976303317535,0.12000000000000002,0.5625,30,40,0.6277712952151367,0.6120591581335472,0.6198156677021311,0.4490818030046335,0.9597167968749414,538,319,341,15186,0.6277712952151367,0.6120591581335472,0.6198156677021311,0.9597167968749414,0.4490818030046335,2031,879,43,48,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,102,18,38,20,0.511171794440446,0.5881494732657526,0.8597156398104265,0.10877192982456142,0.4736842105263158,30,57,0.6193771626290434,0.6109215017057896,0.6151202744134083,0.44416873449094774,0.9589843749999415,537,330,342,15175,0.6193771626290434,0.6109215017057896,0.6151202744134083,0.9589843749999415,0.44416873449094774,2031,879,44,49,714.0,24.0,5.0,57.0,79.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,102,18,16,2,0.303814133438146,0.17027445953898454,0.633175355450237,0.04666666666666666,0.8888888888888888,30,14,0.07655502392332288,0.054607508532361085,0.06374501943423386,0.032921810699565894,0.9139404296874442,48,579,831,14926,0.07655502392332288,0.054607508532361085,0.06374501943423386,0.9139404296874442,0.032921810699565894,2031,879,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,102,18,17,1,0.3706726409566461,0.25324714197726395,0.7696682464454976,0.03333333333333333,0.9444444444444444,30,13,0.08408796895202576,0.07394766780423896,0.07869249344869451,0.04095778197855012,0.9071044921874446,65,708,814,14797,0.08408796895202576,0.07394766780423896,0.07869249344869451,0.9071044921874446,0.04095778197855012,2031,879,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,103,12,13,1,0.5387923664740902,0.5277020336614198,0.7950937950937951,0.2,0.9230769230769231,7,10,0.7371541501961717,0.6590106007055495,0.6958955218883277,0.533619456365474,0.9801025390624402,373,133,193,15685,0.7371541501961717,0.6590106007055495,0.6958955218883277,0.9801025390624402,0.533619456365474,1587,566,21,19,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,103,12,13,1,0.5371498632749833,0.5032086723756056,0.7965367965367965,0.23636363636363633,0.9230769230769231,7,11,0.7351778656111954,0.6572438162532558,0.6940298502465401,0.5314285714278123,0.9799804687499402,372,134,194,15684,0.7351778656111954,0.6572438162532558,0.6940298502465401,0.9799804687499402,0.5314285714278123,1587,566,21,19,456.0,12.0,4.0,54.0,40.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,103,12,18,6,0.35789899740912057,0.19590090592340187,0.9,0.0923076923076923,0.6666666666666667,7,26,0.03285714285709592,0.04063604240275506,0.036334912617708506,0.01850362027351689,0.9255371093749435,23,677,543,15141,0.03285714285709592,0.04063604240275506,0.036334912617708506,0.9255371093749435,0.01850362027351689,1587,566,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,103,12,13,1,0.334718908084663,0.17505522697912676,0.8181818181818181,0.0,0.9230769230769231,7,10,0.06299212598412797,0.05653710247339835,0.05959031607490404,0.03071017274469222,0.9383544921874427,32,476,534,15342,0.06299212598412797,0.05653710247339835,0.05959031607490404,0.9383544921874427,0.03071017274469222,1587,566,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,104,18,27,9,0.5665860561996598,0.597899402218737,0.8274002157497303,0.26153846153846155,0.6666666666666667,14,26,0.6346414073063131,0.6154855643036542,0.6249167216844945,0.45445736434064493,0.965637207031191,469,270,293,15352,0.6346414073063131,0.6154855643036542,0.6249167216844945,0.965637207031191,0.45445736434064493,2283,762,40,38,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,104,18,30,12,0.5626815348990688,0.6097601786578268,0.8306364617044228,0.24864864864864863,0.6,14,37,0.6621803499318141,0.6456692913377353,0.6538205975058552,0.4856860809472007,0.9682006835936908,492,251,270,15371,0.6621803499318141,0.6456692913377353,0.6538205975058552,0.9682006835936908,0.4856860809472007,2283,762,41,39,630.0,22.0,7.0,67.0,36.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,104,18,19,1,0.39130069215065344,0.2542003811388632,0.8414239482200647,0.05555555555555555,0.9473684210526316,14,18,0.05099150141635837,0.04724409448812698,0.049046321026546345,0.02513966480445172,0.9147949218749442,36,670,726,14952,0.05099150141635837,0.04724409448812698,0.049046321026546345,0.9147949218749442,0.02513966480445172,2283,762,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,104,18,18,0,0.39581104596212247,0.2501045794586436,0.7734627831715211,0.1142857142857143,1.0,14,10,0.08928571428558142,0.07874015748021163,0.08368200787005364,0.043668122270710576,0.9197998046874438,60,612,702,15010,0.08928571428558142,0.07874015748021163,0.08368200787005364,0.9197998046874438,0.043668122270710576,2283,762,0,0,,,,,,False
