sample,candidate_peak_count,selected_peak_count,predicted_vectors
1184,2830,5,3
1185,904,5,3
1186,1744,3,3
1187,4259,9,5
1188,1055,2,2
1189,9432,3,3
1190,97,1,1
1191,218,3,3
1192,3851,8,7
1193,6065,8,7
1194,6793,14,10
1195,1856,7,6
1196,5162,11,7
1197,685,6,6
1198,3814,8,8
1199,2208,8,5
