sample,method,ml_threshold,true_vectors,pred_segments,pred_polylines,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,time_ms
5,CNN junction cleanup 0.95,0.95,11,20,20,9,0.5918714127160299,0.6716339869281046,0.9231805929919137,0.2,0.55,11,18,0.6884154460709875,0.7396280400561664,0.7131034477755216,0.5541264737400278,0.9746093749999405,34.621500002685934
5,Hough Transform,,11,11,11,0,0.6634968225279522,0.7889572450851224,0.610512129380054,0.34545454545454546,1.0,11,5,0.9632829373629302,0.6380543633753389,0.7676419960769624,0.6229050279320909,0.9835205078124399,1.0918999905698001
5,Contour,,11,54,9,43,0.5527238925205638,0.731685864203057,0.8109289617486339,0.1636363636363636,0.20370370370370372,11,44,0.5518796992472904,0.5250357653783619,0.5381231666549469,0.36810431293844725,0.9615478515624413,3.485599998384714
5,Skeletonisation,,11,67,67,56,0.4775436245045027,0.7156621448784959,0.6415094339622642,0.04310344827586207,0.16417910447761197,11,116,0.9850107066360064,0.6580829756786007,0.7890222979747019,0.6515580736534681,0.9849853515624398,4.292900004656985
5,Run-graph,,11,16,16,5,0.6626726376657008,0.8152109328579916,0.6145552560646901,0.4166666666666667,0.6875,11,12,0.9999999999978071,0.6523605150205259,0.7896103891311542,0.6523605150205259,0.9851684570311898,4.188699997030199
5,Sparse pixel,,11,67,67,56,0.4775436245045027,0.7156621448784959,0.6415094339622642,0.04310344827586207,0.16417910447761197,11,116,0.9850107066360064,0.6580829756786007,0.7890222979747019,0.6515580736534681,0.9849853515624398,2.5613000034354627
5,Mesh pattern,,11,29,29,18,0.3944414673351449,0.5490588235294118,0.5471698113207547,0.0,0.3793103448275862,11,0,0.6839622641493303,0.41487839771042223,0.5164737306065343,0.348139255701863,0.9668579101561909,1.6663999995216727
6,Baseline junction graph,,1,1,1,0,0.984375,0.9708333333333333,0.9875,1.0,1.0,0,0,0.9999999999824563,0.9999999999824563,0.9999999994824562,0.9999999999824563,0.9999999999999389,2.948399996967055
6,MLP junction cleanup 0.95,0.95,1,1,1,0,0.984375,0.9708333333333333,0.9875,1.0,1.0,0,0,0.9999999999824563,0.9999999999824563,0.9999999994824562,0.9999999999824563,0.9999999999999389,1.611700005014427
6,CNN junction cleanup 0.95,0.95,1,1,1,0,0.984375,0.9708333333333333,0.9875,1.0,1.0,0,0,0.9999999999824563,0.9999999999824563,0.9999999994824562,0.9999999999824563,0.9999999999999389,3.9773000025888905
6,Hough Transform,,1,0,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9965209960936892,0.6050999945728108
6,Contour,,1,0,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9965209960936892,0.31740000122226775
6,Skeletonisation,,1,0,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9965209960936892,0.2855000057024881
6,Run-graph,,1,0,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9965209960936892,4.606500006048009
6,Sparse pixel,,1,0,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9965209960936892,0.2744999947026372
6,Mesh pattern,,1,0,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9965209960936892,0.2848999865818769
7,Baseline junction graph,,15,16,16,1,0.8993381968367242,0.9535206764650332,0.9936305732484076,0.711111111111111,0.9375,9,7,0.8458737864067405,0.9600550964174104,0.8993548382105157,0.817116060960355,0.9904785156249395,8.617600004072301
7,MLP junction cleanup 0.95,0.95,15,18,18,3,0.6508194870723006,0.7451410477835347,0.7719745222929937,0.3111111111111111,0.8333333333333334,9,7,0.6951399116337332,0.6501377410459365,0.6718861204960443,0.5058949624860601,0.9718627929686906,7.521899999119341
7,CNN junction cleanup 0.95,0.95,15,18,18,3,0.6400935777697107,0.7448647092688544,0.7745222929936306,0.2666666666666667,0.8333333333333334,9,7,0.6930983847273229,0.6501377410459365,0.6709310584903181,0.504812834224059,0.9717407226561907,15.14350000070408
7,Hough Transform,,15,12,12,3,0.5680954126362364,0.6825176032948055,0.5159235668789809,0.3111111111111111,0.8,9,3,0.9880095923237698,0.5674931129468768,0.7209098857994978,0.5636114911073001,0.9805297851561902,0.8615999977337196
7,Contour,,15,54,15,39,0.5596991154599098,0.6468845433543138,0.9457831325301205,0.20666666666666667,0.2777777777777778,9,30,0.4342507645253299,0.391184573002216,0.4115942023993153,0.25912408759100447,0.9504394531249419,2.7618999883998185
7,Skeletonisation,,15,46,46,31,0.46120853515059035,0.6793619106482364,0.5388535031847134,0.06046511627906977,0.32608695652173914,9,86,0.9474940334106265,0.5468319559221118,0.6934497811941222,0.5307486631008947,0.9785766601561903,2.7523000026121736
7,Run-graph,,15,18,18,3,0.6192179667704404,0.7174726540011515,0.5095541401273885,0.4444444444444444,0.8333333333333334,9,7,0.999999999997561,0.5647382920102414,0.721830985452911,0.5647382920102414,0.9807128906249402,5.622900003800169
7,Sparse pixel,,15,46,46,31,0.46120853515059035,0.6793619106482364,0.5388535031847134,0.06046511627906977,0.32608695652173914,9,86,0.9474940334106265,0.5468319559221118,0.6934497811941222,0.5307486631008947,0.9785766601561903,2.0511000038823113
7,Mesh pattern,,15,26,26,11,0.3783689850296893,0.5065284974093264,0.4636942675159236,0.0,0.5769230769230769,9,1,0.6102564102548456,0.32782369145960355,0.4265232970355982,0.2710706150338598,0.9609374999999413,1.2669999996433035
8,Baseline junction graph,,11,11,11,0,0.9273431511163147,0.9378958913695883,0.9952,0.825,1.0,8,7,0.8919330289179728,0.9881956155126674,0.9375999994998105,0.8825301204805986,0.9952392578124393,9.14530000591185
8,MLP junction cleanup 0.95,0.95,11,13,13,2,0.7848985829681644,0.8224959963395105,0.9008,0.6,0.8461538461538461,8,8,0.7428571428558943,0.7453625632365171,0.7441077436064927,0.5924932975863372,0.98144531249994,6.382899999152869
