method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,264,2,2,0,0.582743807673628,0.12165290594139548,0.89,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9882812499999396,0,90,102,16192,0.0,0.0,0.0,0.9882812499999396,0.0,102,102,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,264,2,2,0,0.6319247572815534,0.195,0.970873786407767,1.0,1.0,0,0,0.266666666664127,0.27450980391887736,0.2705314004636748,0.1564245810047127,0.9907836914061895,28,77,74,16205,0.266666666664127,0.27450980391887736,0.2705314004636748,0.9907836914061895,0.1564245810047127,102,102,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,265,5,4,1,0.701495123650296,0.8257575757575757,0.6245210727969348,0.5,0.8,2,1,0.9999999999939759,0.5783972125415388,0.7328918317620182,0.5783972125415388,0.9926147460936894,166,0,121,16097,0.9999999999939759,0.5783972125415388,0.7328918317620182,0.9926147460936894,0.5783972125415388,472,287,10,7,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,265,5,4,1,0.701495123650296,0.8257575757575757,0.6245210727969348,0.5,0.8,2,1,0.9999999999939759,0.5783972125415388,0.7328918317620182,0.5783972125415388,0.9926147460936894,166,0,121,16097,0.9999999999939759,0.5783972125415388,0.7328918317620182,0.9926147460936894,0.5783972125415388,472,287,10,7,149.0,10.0,0.0,74.0,54.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,265,5,8,3,0.2861728488902402,0.10909090909090909,0.8729096989966555,0.0,0.625,2,2,0.04467353951874683,0.04529616724722894,0.04498269846180602,0.0230088495574814,0.966308593749941,13,278,274,15819,0.04467353951874683,0.04529616724722894,0.04498269846180602,0.966308593749941,0.0230088495574814,472,287,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,265,5,5,0,0.3469185839356612,0.1373604465709729,0.925531914893617,0.0,1.0,2,3,0.015209125475227342,0.013937282229916595,0.014545454046353738,0.007326007325993909,0.9669189453124409,4,259,283,15838,0.015209125475227342,0.013937282229916595,0.014545454046353738,0.9669189453124409,0.007326007325993909,472,287,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,266,19,29,10,0.6345775349836086,0.5875229375930422,0.9433748584371461,0.4640000000000001,0.6551724137931034,20,25,0.6496894409929818,0.6241050119324295,0.6366402916479356,0.4669642857138688,0.9635620117186912,523,282,315,15264,0.6496894409929818,0.6241050119324295,0.6366402916479356,0.9635620117186912,0.4669642857138688,1896,838,50,55,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,266,19,29,10,0.7310441223704756,0.7354490762820016,0.956964892412231,0.5727272727272728,0.6551724137931034,20,22,0.7693251533732892,0.7482100238654557,0.7586206891543514,0.6111111111105155,0.9756469726561904,627,188,211,15358,0.7693251533732892,0.7482100238654557,0.7586206891543514,0.9756469726561904,0.6111111111105155,1896,838,53,58,652.0,27.0,11.0,77.0,71.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,266,19,20,1,0.4500434021537668,0.1978272491131481,0.9467723669309174,0.30666666666666664,0.95,20,30,0.11199999999985066,0.10023866348436726,0.10579345038301428,0.0558510638297501,0.9133300781249443,84,666,754,14880,0.11199999999985066,0.10023866348436726,0.10579345038301428,0.9133300781249443,0.0558510638297501,1896,838,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,266,19,18,1,0.39595292855194447,0.16453706891259487,0.810872027180068,0.26000000000000006,0.9473684210526316,20,19,0.09843749999984619,0.07517899761327544,0.08525033780385116,0.044522968197848393,0.9174804687499439,63,577,775,14969,0.09843749999984619,0.07517899761327544,0.08525033780385116,0.9174804687499439,0.044522968197848393,1896,838,0,0,,,,,,False
