method,method_display,preprocess_method,preprocess_display,preprocess_kind,input_channels,channel_names,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,sobel_edges,1,,3,1,1,0,0.4725806451612903,0.0,0.6129032258064516,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9929199218749394,0,30,86,16268,0.0,0.0,0.0,0.9929199218749394,0.0,62,86,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,distance_transform,1,,3,1,1,0,0.44999999999999996,0.0,0.5,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9873657226561897,0,37,170,16177,0.0,0.0,0.0,0.9873657226561897,0.0,62,170,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,neighbour_context,1,,3,1,1,0,0.4810344827586207,0.0,0.6551724137931034,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9947509765624393,0,24,62,16298,0.0,0.0,0.0,0.9947509765624393,0.0,62,62,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,skeleton,1,,3,1,1,0,0.6340714285714286,0.39,0.5428571428571429,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9967041015624392,0,36,18,16330,0.0,0.0,0.0,0.9967041015624392,0.0,62,18,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__multi_channel_stack,CNN + Multi-channel stack,multi_channel_stack,Multi-channel stack,multi_channel,8,"threshold_only, dilated_stroke, close_gaps, local_density, sobel_edges, distance_transform, neighbour_context, skeleton",3,1,1,0,0.5227272727272727,0.0,0.8636363636363636,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9884033203124396,0,20,170,16194,0.0,0.0,0.0,0.9884033203124396,0.0,62,170,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,binary,1,,4,2,2,0,0.5485576923076924,0.058333333333333334,0.8615384615384616,1.0,1.0,0,0,0.11475409835877452,0.039325842696408285,0.05857740547707498,0.030172413792973397,0.9862670898436898,7,54,171,16152,0.11475409835877452,0.039325842696408285,0.05857740547707498,0.9862670898436898,0.030172413792973397,178,178,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,binary,1,,4,2,1,1,0.48529761904761903,0.11018518518518516,0.6785714285714286,1.0,0.5,0,0,0.3846153846055227,0.04658385093153235,0.08310249288160772,0.04335260115594407,0.9797973632811902,15,24,307,16038,0.3846153846055227,0.04658385093153235,0.08310249288160772,0.9797973632811902,0.04335260115594407,178,322,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,binary,1,,4,2,2,0,0.5352976190476191,0.11018518518518516,0.6785714285714286,1.0,1.0,0,0,0.324999999991875,0.07303370786475824,0.1192660547451393,0.06341463414603213,0.9882812499999396,13,27,165,16179,0.324999999991875,0.07303370786475824,0.1192660547451393,0.9882812499999396,0.06341463414603213,178,178,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,local_density,1,,4,2,2,0,0.6860805084745762,0.325,0.9491525423728814,1.0,1.0,0,0,0.6721311475299651,0.14539007092147024,0.23906705509976284,0.13576158940352398,0.9840698242186899,41,20,241,16082,0.6721311475299651,0.14539007092147024,0.23906705509976284,0.9840698242186899,0.13576158940352398,178,282,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,sobel_edges,1,,4,2,1,1,0.4928571428571428,0.0,0.9642857142857143,1.0,0.5,0,0,0.2909090909038017,0.06557377049153454,0.10702341107030122,0.056537102473298455,0.9837036132811899,16,39,228,16101,0.2909090909038017,0.06557377049153454,0.10702341107030122,0.9837036132811899,0.056537102473298455,178,244,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
