sample,method,Method,preprocess_method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
734,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.3481206518351415,0.19667837159945978,0.7980769230769231,0.0,1.0,2,3,18,218,635,15513,0.07627118644035479,0.027565084226604034,0.04049493774265394,0.9479370117186922,0.02066590126289246
734,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.32653439869989165,0.14870892018779344,0.7980769230769231,0.0,1.0,2,1,18,211,635,15520,0.07860262008699301,0.027565084226604034,0.04081632614606826,0.948364257812442,0.02083333333330922
735,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,5,1,0.2591577540106952,0.07133095662507427,0.7352941176470589,0.0,0.8,0,3,40,149,686,15509,0.21164021163909186,0.05509641873270648,0.08743169366109707,0.949035644531192,0.04571428571423347
735,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,5,1,0.25595022624434394,0.07237305178481648,0.7169117647058824,0.0,0.8,0,2,35,153,691,15505,0.1861702127649672,0.04820936639111817,0.0765864329334639,0.948486328124942,0.03981797497151329
736,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.31960467176313556,0.09442276422764227,0.8855721393034826,0.0,1.0,1,0,21,181,321,15861,0.10396039603908931,0.061403508771750284,0.07720588188577261,0.9693603515624408,0.04015296367105133
736,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.3408545254883829,0.1602981029810298,0.8436018957345972,0.0,1.0,1,0,11,170,331,15872,0.060773480662647664,0.032163742689964435,0.04206500910745114,0.9694213867186908,0.02148437499995804
737,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.5479255319148937,0.05212765957446808,0.8723404255319149,1.0,1.0,0,0,5,36,43,16300,0.1219512195092207,0.10416666666449653,0.11235955006236586,0.9951782226561893,0.05952380952310091
737,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.6361382978723404,0.39,0.5531914893617021,1.0,1.0,0,0,13,14,35,16322,0.48148148146364883,0.270833333327691,0.34666666619662223,0.9970092773436892,0.20967741935145684
738,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.2970396341463415,0.0747222222222222,0.8170731707317074,0.0,1.0,0,2,6,141,281,15956,0.04081632653033459,0.020905923344874892,0.027649769137155184,0.9742431640624405,0.014018691588752293
738,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,4,1,0.5424320987654321,0.10444444444444445,0.8271604938271605,1.0,0.8,0,0,5,158,282,15939,0.030674846625578685,0.017421602787395744,0.0222222217600889,0.9731445312499406,0.011235955056154526
739,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,3,1,0.7572930676629306,0.6325031133250311,0.78,1.0,0.6666666666666667,0,0,0,148,369,15867,0.0,0.0,0.0,0.9684448242186908,0.0
739,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.5125833333333334,0.06499999999999999,0.6666666666666667,1.0,1.0,0,0,7,66,362,15949,0.09589041095759054,0.01897018970184561,0.0316742078688909,0.9738769531249405,0.016091954022951514
