method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,junction_nodes,traced_paths
skeleton_junction_fix,20,1,1,0,0.9642857142857143,0.9333333333333333,0.9714285714285714,1.0,1.0,0,0,0.9677419354526535,0.9677419354526535,0.9677419349526535,0.9374999999707032,0.9998779296874389,2,1
baseline_original_unchanged,21,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999883721,0.9999999999883721,0.9999999994883721,0.9999999999883721,0.9999999999999389,4,2
skeleton_junction_fix,21,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999883721,0.9999999999883721,0.9999999994883721,0.9999999999883721,0.9999999999999389,4,2
baseline_original_unchanged,22,5,5,0,0.9917907141591352,0.9832535885167463,0.9966329966329966,1.0,1.0,1,1,0.999999999996063,0.999999999996063,0.9999999994960631,0.999999999996063,0.9999999999999389,11,7
skeleton_junction_fix,22,5,5,0,0.9917907141591352,0.9832535885167463,0.9966329966329966,1.0,1.0,1,1,0.999999999996063,0.999999999996063,0.9999999994960631,0.999999999996063,0.9999999999999389,11,7
baseline_original_unchanged,23,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999882353,0.9999999999882353,0.9999999994882354,0.9999999999882353,0.9999999999999389,2,1
skeleton_junction_fix,23,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999882353,0.9999999999882353,0.9999999994882354,0.9999999999882353,0.9999999999999389,2,1
baseline_original_unchanged,24,5,5,0,0.9818317610062893,0.975,0.9654088050314465,1.0,1.0,1,1,0.9966101694881471,0.9639344262263478,0.9799999994968721,0.9607843137223504,0.9992675781249389,10,6
skeleton_junction_fix,24,5,6,1,0.7005389115100075,0.9550759878419453,0.9371069182389937,0.0,0.8333333333333334,1,0,0.9031141868480862,0.8557377049152272,0.8787878782852827,0.7837837837814301,0.9956054687499392,11,7
baseline_original_unchanged,25,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999908257,0.9999999999908257,0.9999999994908257,0.9999999999908257,0.9999999999999389,2,1
skeleton_junction_fix,25,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999908257,0.9999999999908257,0.9999999994908257,0.9999999999908257,0.9999999999999389,2,1
baseline_original_unchanged,26,4,4,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999966444,0.9999999999966444,0.9999999994966444,0.9999999999966444,0.9999999999999389,8,4
skeleton_junction_fix,26,4,4,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999966444,0.9999999999966444,0.9999999994966444,0.9999999999966444,0.9999999999999389,8,4
baseline_original_unchanged,27,3,3,0,0.9402499999999999,0.9783333333333334,1.0,0.8,1.0,1,1,0.9999999999948187,0.9999999999948187,0.9999999994948188,0.9999999999948187,0.9999999999999389,7,5
skeleton_junction_fix,27,3,3,0,0.9402499999999999,0.9783333333333334,1.0,0.8,1.0,1,1,0.9999999999948187,0.9999999999948187,0.9999999994948188,0.9999999999948187,0.9999999999999389,7,5
baseline_original_unchanged,28,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999687501,0.9999999999687501,0.9999999994687501,0.9999999999687501,0.9999999999999389,2,1
skeleton_junction_fix,28,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999687501,0.9999999999687501,0.9999999994687501,0.9999999999687501,0.9999999999999389,2,1
baseline_original_unchanged,29,3,3,0,1.0,1.0,1.0,1.0,1.0,1,1,0.999999999995984,0.999999999995984,0.9999999994959841,0.999999999995984,0.9999999999999389,7,5
skeleton_junction_fix,29,3,3,0,1.0,1.0,1.0,1.0,1.0,1,1,0.999999999995984,0.999999999995984,0.9999999994959841,0.999999999995984,0.9999999999999389,7,5
baseline_original_unchanged,30,3,3,0,0.987,0.9711111111111111,1.0,1.0,1.0,1,1,0.999999999995025,0.999999999995025,0.999999999495025,0.999999999995025,0.9999999999999389,7,5
skeleton_junction_fix,30,3,3,0,0.987,0.9711111111111111,1.0,1.0,1.0,1,1,0.999999999995025,0.999999999995025,0.999999999495025,0.999999999995025,0.9999999999999389,7,5
baseline_original_unchanged,31,2,2,0,0.7256666666666667,0.9533333333333334,0.9833333333333333,0.0,1.0,1,0,0.9999999999833334,0.9836065573609245,0.9917355366737246,0.9836065573609245,0.9999389648436889,4,3
skeleton_junction_fix,31,2,2,0,0.7256666666666667,0.9533333333333334,0.9833333333333333,0.0,1.0,1,0,0.9999999999833334,0.9836065573609245,0.9917355366737246,0.9836065573609245,0.9999389648436889,4,3
baseline_original_unchanged,32,5,5,0,0.9946818181818181,0.9881818181818182,1.0,1.0,1.0,1,1,0.9999999999956141,0.9999999999956141,0.9999999994956141,0.9999999999956141,0.9999999999999389,11,7
skeleton_junction_fix,32,5,5,0,0.9946818181818181,0.9881818181818182,1.0,1.0,1.0,1,1,0.9999999999956141,0.9999999999956141,0.9999999994956141,0.9999999999956141,0.9999999999999389,11,7
baseline_original_unchanged,33,4,4,0,0.728763305322129,0.7981232492997199,0.9313725490196079,0.3333333333333333,1.0,3,1,0.9999999999882353,0.9340659340556696,0.9659090903986958,0.9340659340556696,0.9996337890624389,8,7
skeleton_junction_fix,33,4,4,0,0.728763305322129,0.7981232492997199,0.9313725490196079,0.3333333333333333,1.0,3,1,0.9999999999882353,0.9340659340556696,0.9659090903986958,0.9340659340556696,0.9996337890624389,8,7
baseline_original_unchanged,34,4,4,0,0.9578965517241379,0.973103448275862,1.0,0.8799999999999999,1.0,5,5,0.9999999999959184,0.9999999999959184,0.9999999994959183,0.9999999999959184,0.9999999999999389,13,14
skeleton_junction_fix,34,4,4,0,1.0,1.0,1.0,1.0,1.0,5,5,0.9999999999959184,0.9999999999959184,0.9999999994959183,0.9999999999959184,0.9999999999999389,13,14
baseline_original_unchanged,35,2,2,0,0.9729721829325789,0.9443386243386244,0.9900990099009901,1.0,1.0,0,0,0.9999999999897958,0.9999999999897958,0.9999999994897959,0.9999999999897958,0.9999999999999389,4,2
skeleton_junction_fix,35,2,2,0,0.9729721829325789,0.9443386243386244,0.9900990099009901,1.0,1.0,0,0,0.9999999999897958,0.9999999999897958,0.9999999994897959,0.9999999999897958,0.9999999999999389,4,2
